Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,4.427825037,35.81366835,0.052172542,31.48762321,32.14881105,33.08389492,34.46951803,35.81366835,37.00426196,37.97379421,38.51574,38.85417217
1,0.5,4.310927464,37.19361054,0.047259148,33.25005839,33.83391575,34.67252717,35.93986771,37.19361054,38.3212548,39.24988502,39.77261565,40.10028445
1,1.5,3.869576802,39.20742929,0.040947903,35.78126227,36.26427603,36.97376845,38.07877607,39.20742929,40.2498675,41.12605049,41.62581415,41.94137873
1,2.5,3.305593039,40.65233195,0.037027722,37.55879748,37.97958783,38.60724429,39.60636994,40.65233195,41.63967944,42.48435504,42.97189144,43.28180775
1,3.5,2.720590297,41.76516959,0.034364245,38.89944028,39.27893049,39.85122805,40.77712846,41.76516959,42.71454952,43.5390162,44.01984454,44.3273323
1,4.5,2.16804824,42.66116148,0.032462175,39.956733,40.30765556,40.8411358,41.71483367,42.66116148,43.58358267,44.39471535,44.87197284,45.17876946
1,5.5,1.675465689,43.40488731,0.031064702,40.8164238,41.14714268,41.65290563,42.48888872,43.40488731,44.30801,45.11034335,45.58592624,45.89299742
1,6.5,1.255160322,44.03609923,0.03002267,41.53109397,41.84741554,42.33330145,43.14204136,44.03609923,44.92554888,45.72225458,46.19735808,46.50523827
1,7.5,0.91054114,44.58096912,0.029242173,42.13520784,42.44134027,42.91311128,43.70245428,44.58096912,45.46103549,46.25442887,46.7298272,47.03879825
1,8.5,0.639510474,45.05761215,0.028660454,42.65252672,42.95162383,43.41364704,44.18963565,45.05761215,45.93165855,46.72349076,47.19970004,47.50989695
1,9.5,0.436978864,45.4790756,0.0282336,43.1000854,43.39457866,43.85025055,44.61764431,45.4790756,46.34979269,47.14142337,47.61879558,47.93026746
1,10.5,0.296275856,45.85505706,0.027929764,43.49049033,43.78229887,44.23431798,44.99693519,45.85505706,46.72463077,47.5171388,47.99592075,48.30866909
1,11.5,0.210107251,46.19295427,0.027725179,43.83331672,44.12398596,44.57453557,45.33548679,46.19295427,47.06318161,47.85743833,48.33780885,48.65181107
1,12.5,0.171147024,46.49853438,0.027601686,44.1359978,44.42679395,44.87766812,45.6395204,46.49853438,47.37090639,48.1676259,48.64971976,48.96494367
