name appeared url datasets
DataPortals 2011 http://dataportals.org/ 558
AwesomeData 2014 https://github.com/awesomedata/awesome-public-datasets 659
NLPDataSets 2016 https://github.com/niderhoff/nlp-datasets 91
QuiltData 2015 https://open.quiltdata.com/ 26
KaggleDataSets 2010 https://www.kaggle.com/datasets 24865
BigQuery 2015 https://cloud.google.com/bigquery/public-data/ 124
Quandl 2011 https://www.quandl.com/ 25000000
OurWorldInData 2014 https://ourworldindata.org/ 297
Statista 2007 https://www.statista.com/ 1000000
UCIMLR 1987 http://archive.ics.uci.edu/ml/index.php 488
WolframDataRepository 2009 https://datarepository.wolframcloud.com/ 536
AWSOpenData 2013 https://registry.opendata.aws/ 119
StanfordLargeNetworkDatasetCollection 2014 https://snap.stanford.edu/data/ 110
DataHub 2011 https://datahub.io/search 451
