year,month,day,dep_delay,arr_delay,carrier,origin,dest,air_time,distance,hour
2014,1,1,14,13,AA,JFK,LAX,359,2475,9
2014,1,1,-3,13,AA,JFK,LAX,363,2475,11
2014,1,1,2,9,AA,JFK,LAX,351,2475,19
2014,1,1,-8,-26,AA,LGA,PBI,157,1035,7
2014,1,1,2,1,AA,JFK,LAX,350,2475,13
2014,1,1,4,0,AA,EWR,LAX,339,2454,18
2014,1,1,-2,-18,AA,JFK,LAX,338,2475,21
2014,1,1,-3,-14,AA,JFK,LAX,356,2475,15
2014,1,1,-1,-17,AA,JFK,MIA,161,1089,15
2014,1,1,-2,-14,AA,JFK,SEA,349,2422,18
2014,1,1,-5,-17,AA,EWR,MIA,161,1085,16
2014,1,1,7,-5,AA,JFK,SFO,365,2586,17
2014,1,1,3,1,AA,JFK,BOS,39,187,12
2014,1,1,142,133,AA,JFK,LAX,345,2475,19
2014,1,1,-5,-26,AA,JFK,BOS,35,187,17
2014,1,1,18,69,AA,JFK,ORD,155,740,17
2014,1,1,25,36,AA,JFK,IAH,234,1417,16
2014,1,1,-1,1,AA,JFK,AUS,232,1521,17
2014,1,1,191,185,AA,EWR,DFW,214,1372,16
2014,1,1,-7,-6,AA,LGA,ORD,142,733,5
2014,1,1,-7,0,AA,LGA,ORD,143,733,6
2014,1,1,-8,-17,AA,LGA,ORD,139,733,6
2014,1,1,-2,15,AA,LGA,ORD,145,733,7
2014,1,1,-3,1,AA,LGA,ORD,139,733,8
2014,1,1,44,42,AA,LGA,ORD,141,733,10
2014,1,1,-1,-2,AA,EWR,DFW,214,1372,14
2014,1,1,3,12,AA,LGA,ORD,137,733,10
2014,1,1,-5,24,AA,LGA,ORD,145,733,11
2014,1,1,26,46,AA,LGA,ORD,132,733,13
2014,1,1,52,91,AA,LGA,ORD,136,733,16
2014,1,1,55,84,AA,LGA,ORD,133,733,17
2014,1,1,36,59,AA,LGA,ORD,138,733,18
2014,1,1,0,-27,AA,JFK,STT,197,1623,7
2014,1,1,11,44,AA,LGA,ORD,136,733,19
2014,1,1,-5,-17,AA,JFK,SJU,198,1598,18
2014,1,1,-10,-19,AA,LGA,MIA,164,1096,11
2014,1,1,-6,-4,AA,LGA,MIA,168,1096,13
2014,1,1,7,-8,AA,JFK,MIA,166,1089,9
2014,1,1,51,29,AA,LGA,DFW,210,1389,17
2014,1,1,-2,-3,AA,LGA,MIA,165,1096,5
2014,1,1,17,7,AA,LGA,DFW,224,1389,17
2014,1,1,-3,-10,AA,EWR,MIA,154,1085,6
2014,1,1,4,-17,AA,EWR,DFW,215,1372,9
2014,1,1,0,-8,AA,LGA,DFW,230,1389,7
2014,1,1,-5,-14,AA,LGA,DFW,209,1389,8
2014,1,1,-4,-21,AA,LGA,DFW,214,1389,10
2014,1,1,6,4,AA,LGA,DFW,217,1389,19
2014,1,1,-6,-11,AA,LGA,DFW,216,1389,11
2014,1,1,-11,-5,AA,LGA,DFW,234,1389,11
2014,1,1,-1,-14,AA,LGA,DFW,205,1389,12
2014,1,1,3,3,AA,LGA,DFW,217,1389,13
2014,1,1,14,23,AA,LGA,DFW,232,1389,15
2014,1,1,0,-27,AA,LGA,DFW,215,1389,15
2014,1,1,-6,-9,AA,LGA,PBI,162,1035,15
2014,1,1,3,-16,AA,JFK,SJU,194,1598,8
2014,1,1,-3,27,AA,EWR,DFW,211,1372,7
2014,1,1,3,11,AA,LGA,MIA,162,1096,15
2014,1,1,-7,-22,AA,LGA,MIA,159,1096,12
2014,1,1,4,14,AA,JFK,LAS,322,2248,6
2014,1,1,-5,-8,AA,EWR,MIA,157,1085,11
2014,1,1,-5,-5,AA,LGA,MIA,160,1096,10
2014,1,1,-3,-6,AA,LGA,MIA,164,1096,18
2014,1,1,-9,-16,AA,EWR,DFW,218,1372,19
2014,1,1,2,-1,AA,JFK,MIA,164,1089,12
2014,1,1,6,3,AA,JFK,MIA,157,1089,5
2014,1,1,-7,12,AA,LGA,MIA,168,1096,7
2014,1,1,-5,-20,AA,LGA,MIA,160,1096,7
2014,1,1,-6,-10,AA,JFK,MCO,149,944,14
2014,1,1,6,-12,AA,JFK,MIA,154,1089,17
2014,1,1,-5,-15,AA,LGA,MIA,173,1096,14
2014,1,1,-2,-15,AA,JFK,BOS,32,187,19
2014,1,1,-3,-9,AA,LGA,MIA,172,1096,19
