Name	Url	Description	DataTypes	DefaultTask	AttributeTypes	NumberOfInstances	NumberOfAttributes	Year	Category
Abalone	https://archive.ics.uci.edu/ml/datasets/Abalone	Predict the age of abalone from physical measurements	Multivariate 	Classification 	Categorical, Integer, Real 	4177 	8 	1995 	Life
Adult	https://archive.ics.uci.edu/ml/datasets/Adult	Predict whether income exceeds $50K/yr based on census data. Also known as "Census Income" dataset.	Multivariate 	Classification 	Categorical, Integer 	48842 	14 	1996 	Social
Annealing	https://archive.ics.uci.edu/ml/datasets/Annealing	Steel annealing data	Multivariate 	Classification 	Categorical, Integer, Real 	798 	38 		Physical
Anonymous Microsoft Web Data	https://archive.ics.uci.edu/ml/datasets/Anonymous+Microsoft+Web+Data	Log of anonymous users of www.microsoft.com; predict areas of the web site a user visited based on data on other areas the user visited.		Recommender-Systems 	Categorical 	37711 	294 	1998 	Computer
Arrhythmia	https://archive.ics.uci.edu/ml/datasets/Arrhythmia	Distinguish between the presence and absence of cardiac arrhythmia and classify it in one of the 16 groups.	Multivariate 	Classification 	Categorical, Integer, Real 	452 	279 	1998 	Life
Artificial Characters	https://archive.ics.uci.edu/ml/datasets/Artificial+Characters	Dataset artificially generated by using first order theory which describes structure of ten capital letters of English alphabet	Multivariate 	Classification 	Categorical, Integer, Real 	6000 	7 	1992 	Computer
Audiology (Original)	https://archive.ics.uci.edu/ml/datasets/Audiology+%28Original%29	Nominal audiology dataset from Baylor	Multivariate 	Classification 	Categorical 	226 		1987 	Life
Audiology (Standardized)	https://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29	Standardized version of the original audiology database	Multivariate 	Classification 	Categorical 	226 	69 	1992 	Life
Auto MPG	https://archive.ics.uci.edu/ml/datasets/Auto+MPG	Revised from CMU StatLib library, data concerns city-cycle fuel consumption	Multivariate 	Regression 	Categorical, Real 	398 	8 	1993 	Other
Automobile	https://archive.ics.uci.edu/ml/datasets/Automobile	From 1985 Ward's Automotive Yearbook	Multivariate 	Regression 	Categorical, Integer, Real 	205 	26 	1987 	Other
Badges	https://archive.ics.uci.edu/ml/datasets/Badges	Badges labeled with a "+" or "-" as a function of a person's name	Univariate, Text 	Classification 		294 	1 	1994 	Other
Balance Scale	https://archive.ics.uci.edu/ml/datasets/Balance+Scale	Balance scale weight & distance database	Multivariate 	Classification 	Categorical 	625 	4 	1994 	Social
Balloons	https://archive.ics.uci.edu/ml/datasets/Balloons	Data previously used in cognitive psychology experiment; 4 data sets represent different conditions of an experiment	Multivariate 	Classification 	Categorical 	16 	4 		Social
Breast Cancer	https://archive.ics.uci.edu/ml/datasets/Breast+Cancer	Breast Cancer Data (Restricted Access)	Multivariate 	Classification 	Categorical 	286 	9 	1988 	Life
Breast Cancer Wisconsin (Original)	https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Original%29	Original Wisconsin Breast Cancer Database	Multivariate 	Classification 	Integer 	699 	10 	1992 	Life
Breast Cancer Wisconsin (Prognostic)	https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Prognostic%29	Prognostic Wisconsin Breast Cancer Database	Multivariate 	Classification, Regression 	Real 	198 	34 	1995 	Life
Breast Cancer Wisconsin (Diagnostic)	https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29	Diagnostic Wisconsin Breast Cancer Database	Multivariate 	Classification 	Real 	569 	32 	1995 	Life
Pittsburgh Bridges	https://archive.ics.uci.edu/ml/datasets/Pittsburgh+Bridges	Bridges database that has original and numeric-discretized datasets	Multivariate 	Classification 	Categorical, Integer 	108 	13 	1990 	Other
Car Evaluation	https://archive.ics.uci.edu/ml/datasets/Car+Evaluation	Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods.	Multivariate 	Classification 	Categorical 	1728 	6 	1997 	Other
Census Income	https://archive.ics.uci.edu/ml/datasets/Census+Income	Predict whether income exceeds $50K/yr based on census data. Also known as "Adult" dataset.	Multivariate 	Classification 	Categorical, Integer 	48842 	14 	1996 	Social
Chess (King-Rook vs. King-Knight)	https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Knight%29	Knight Pin Chess End-Game Database Creator	Multivariate, Data-Generator 	Classification 	Categorical, Integer 		22 	1988 	Game
Chess (King-Rook vs. King-Pawn)	https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Pawn%29	King+Rook versus King+Pawn on a7 (usually abbreviated KRKPA7).	Multivariate 	Classification 	Categorical 	3196 	36 	1989 	Game
Chess (King-Rook vs. King)	https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King%29	Chess Endgame Database for White King and Rook against Black King (KRK).	Multivariate 	Classification 	Categorical, Integer 	28056 	6 	1994 	Game
Chess (Domain Theories)	https://archive.ics.uci.edu/ml/datasets/Chess+%28Domain+Theories%29	6 different domain theories for generating legal moves of chess	Domain-Theory 						Game
Bach Chorales	https://archive.ics.uci.edu/ml/datasets/Bach+Chorales	Time-series data based on chorales; challenge is to learn generative grammar; data in Lisp	Univariate, Time-Series 		Categorical, Integer 	100 	6 		Other
Connect-4	https://archive.ics.uci.edu/ml/datasets/Connect-4	Contains connect-4 positions	Multivariate, Spatial 	Classification 	Categorical 	67557 	42 	1995 	Game
Credit Approval	https://archive.ics.uci.edu/ml/datasets/Credit+Approval	This data concerns credit card applications; good mix of attributes	Multivariate 	Classification 	Categorical, Integer, Real 	690 	15 		Financial
Japanese Credit Screening	https://archive.ics.uci.edu/ml/datasets/Japanese+Credit+Screening	Includes domain theory (generated by talking to Japanese domain experts); data in Lisp	Multivariate, Domain-Theory 	Classification 	Categorical, Real, Integer 	125 		1992 	Financial
Computer Hardware	https://archive.ics.uci.edu/ml/datasets/Computer+Hardware	Relative CPU Performance Data, described in terms of its cycle time, memory size, etc.	Multivariate 	Regression 	Integer 	209 	9 	1987 	Computer
